country,competitor,category,price,title,width,height,depth,seat_height,material,color
nl,fonq,wall_lights,76.95,Light & Living Wandlamp MARLEY - antiek goud,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,76.95,Light & Living Wandlamp BALLY - mat zwart,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,73.95,Light & Living Wandlamp CORNELIA - Mat Zwart + Helder Glas,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,139.95,LT-Luce Wandlamp LED Denver WIT IP54,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,109.95,LT-Luce Wandlamp Sharp Led Wit IP54,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,24.95,Mexlite Ivy Wandlamp Zwart,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,74.95,Mexlite Dublin Wandlamp Bruin,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,149.95,Steinhauer Diamond Wandlamp RVS,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,55.95,Light & Living Wandlamp FENDI - zwart + glas,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,59.95,Light & Living Wandlamp MIRASH - mat lood spiegel - M,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,54.95,Light & Living Wandlamp SORIANO - mat zwart,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,34.95,Lifestyle Bruma Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,70.0,TRIO Kazan Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,28.9,TRIO Ray Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,97.0,Frandsen Ball Wandlamp Anniversary,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,97.0,Frandsen Ball Wandlamp Anniversary,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,254.0,Northern Birdy Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,57.6,Seletti Neon Shaped Alphafont Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,33.6,EGLO Sitia LED Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,89.0,Het Lichtlab No.15 wandlamp zwart met zwarte kooi,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,94.99,Het Lichtlab No.15 wandlamp zwart met bronzen kooi,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,56.95,Light & Living Wandlamp TORCH - ruw antiek brons,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,65.95,Light & Living Wandlamp SPIRASH - antiek brons spiraal - L,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,94.95,Light & Living Wandlamp JACKSON - Mat Zwart-Antiek-brons,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,99.0,Highlight Wandlamp Jupiter LED Brons Swing,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,119.95,LT-Luce Wandlamp Nimbus Wit,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,87.5,Highlight Wandlamp Jupiter LED Staal,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,79.0,Freelight Wandlamp Esterna Beton IP54,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,1239.0,Kare Design - Wandlamp Parecchi Glamour XL - Zwart Frame,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,84.95,Light & Living Wandbureaulamp EFREN - hout naturel en wit,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,73.95,Light & Living Wandlamp MIRASH - mat lood spiegel - L,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,149.95,LT-Luce Wandlamp LED Hudson ALU IP54,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,29.95,Anne Lighting Dolphin Wandlamp Zwart,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,49.95,Mexlite Dublin Wandlamp Bruin,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,59.95,Steinhauer Aleppo Wandlamp RVS,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,129.95,Steinhauer Nadir LED Wandlamp RVS,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,99.95,Steinhauer Favourite Wandlamp RVS,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,149.95,Steinhauer Diamond Wandlamp Brons,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,549.0,Woud Mercury Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,209.0,Anglepoise 1227 Mini Mounted Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,349.0,Anglepoise 1227 Brass Mounted Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,255.75,Serax Studio Simple Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,34.95,TRIO Zorro Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,23.2,TRIO Ray Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,119.0,Serax Cravache Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,36.99,BePureHome Masterpiece Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,98.99,Lucide Phil Wandlamp,0.0,0.0,0.0,0.0,,
nl,fonq,wall_lights,190.0,Normann Copenhagen Plate Wandlamp,0.0,0.0,0.0,0.0,,
